post_id,ig_post_id,shortcode,post_type,product_type,post_url,owner_username,owner_full_name,owner_id,owner_profile_url,caption,hashtags,mentions,likes,comments,engagement_raw,timestamp,isCommentsDisabled
DTlLQDMj7Vd,3811502141094212957,DTlLQDMj7Vd,Sidecar,,https://www.instagram.com/p/DTlLQDMj7Vd/,100thieves,100 Thieves,7332099376,https://www.instagram.com/100thieves,Built to perform. The 2026 Primary Jerseys are available now on 100Thieves.com,[],[],2912.0,30.0,2942.0,2026-01-16 18:01:24+00:00,False
DQNm861D63K,3750825376772763082,DQNm861D63K,Video,clips,https://www.instagram.com/p/DQNm861D63K/,100thieves,100 Thieves,7332099376,https://www.instagram.com/100thieves,"Pokémon + 100 Thieves '25 wouldn't be possible without the Trainers who have embarked on this journey with us, thank you.

The Pokémon + 100 Thieves '25 Collection is available now on 100Thieves.com

#Pokemon #100Thieves","['Pokemon', '100Thieves']",[],17606.0,33.0,17639.0,2025-10-25 00:50:26+00:00,False
DO6mU9iEopl,3727460207829355109,DO6mU9iEopl,Sidecar,,https://www.instagram.com/p/DO6mU9iEopl/,100thieves,100 Thieves,7332099376,https://www.instagram.com/100thieves,"100 ATEEZ @ateez_official_ 

#100thieves #ateez","['100thieves', 'ateez']",['ateez_official_'],15262.0,78.0,15340.0,2025-09-22 19:05:04+00:00,False
DT7mphkkqvY,3817815088439667672,DT7mphkkqvY,Video,clips,https://www.instagram.com/p/DT7mphkkqvY/,100thieves.apparel,100 Thieves,3132348523,https://www.instagram.com/100thieves,"Sapporo ✈️ Tokyo

See you next year! 💯🦝❤️

View the 100 Thieves x Crazy Raccoon ‘26 Collection on 100Thieves.com",[],[],4661.0,7.0,4668.0,2026-01-25 11:04:18+00:00,False
DT1lrCekhZN,3816121944585147981,DT1lrCekhZN,Sidecar,,https://www.instagram.com/p/DT1lrCekhZN/,100thieves.apparel,100 Thieves,3132348523,https://www.instagram.com/100thieves,"100 Thieves × Crazy Raccoon ’26 Collection is available worldwide.

コレクションは現在販売中。 100Thieves.com をご覧ください。

View the full collection on 100Thieves.com, or stop by the Crazy Raccoon Store in Shibuya, Tokyo from January 23–25, 12PM–7PM JST to experience the pop-up event!",[],[],3262.0,4.0,3266.0,2026-01-23 03:00:07+00:00,False
DTtptBBkuXW,3813887872836232662,DTtptBBkuXW,Video,clips,https://www.instagram.com/p/DTtptBBkuXW/,100thieves.apparel,100 Thieves,3132348523,https://www.instagram.com/100thieves,"100 Thieves x Crazy Raccoon ‘26 

View the full Lookbook on 100Thieves.com

Releasing 01.22.2026 at 7PM PT on 100Thieves.com, or join us in person at the Crazy Raccoon Store Pop-up in Shibuya, Tokyo from January 23–25, 2026, 12PM–7PM JST. 

2026年1月22日 12:00（JST）
100Thieves.com にてリリース。

または、
2026年1月23日〜25日
12:00〜19:00（JST）
渋谷のCrazy Raccoon Store で開催されるポップアップにぜひお越しください。",[],[],7003.0,21.0,7024.0,2026-01-20 01:03:30+00:00,False
DTimUBoASVE,3810776736610723140,DTimUBoASVE,Sidecar,,https://www.instagram.com/p/DTimUBoASVE/,100thieves.apparel,100 Thieves,3132348523,https://www.instagram.com/100thieves,"Redefined and rebuilt.

The 2026 Primary Jersey. A statement jersey built for the biggest stages. Featuring a slightly oversized fit with ribbed collar and cuffs, an all-over geo print stripe pattern, a 3D silicone two-color 100 Thieves logo, and premium matte sponsor branding.

The 2026 Primary Jerseys launch Friday, 01.16,2026 at 10 AM PT on 100Thieves.com",[],[],1187.0,13.0,1200.0,2026-01-15 18:00:09+00:00,False
DTitThzkmhF,3810807488770631749,DTitThzkmhF,Sidecar,,https://www.instagram.com/p/DTitThzkmhF/,100thieves.esports,100 Thieves Esports,49120212782,https://www.instagram.com/100thieves,"Bound as one by black and red.

The 2026 Primary Jerseys are available Friday, 01.16.2026 at 10 AM PT. View the full lookbook on 100Thieves.com",[],[],3086.0,8.0,3094.0,2026-01-15 19:01:15+00:00,False
DUPHOndEbcG,3823306399422723846,DUPHOndEbcG,Image,,https://www.instagram.com/p/DUPHOndEbcG/,2xko,2XKO,57164573241,https://www.instagram.com/riotgames,"874 participants, 11 matches, 1 champion.

congrats to bleed for winning 2xko's first ever major frosty faustings",[],[],3148.0,45.0,3193.0,2026-02-02 00:54:21+00:00,False
DTdOfqBCc-z,3809264607894818739,DTdOfqBCc-z,Video,clips,https://www.instagram.com/p/DTdOfqBCc-z/,2xko,2XKO,57164573241,https://www.instagram.com/riotgames,"she’s an excellent shot. caitlyn joins the 2xko roster in season 1. starting January 20-21 on pc, xbox series x|s, and playstation 5",[],[],52947.0,815.0,53762.0,2026-01-13 16:00:27+00:00,False
DTLND9hD-qz,3804191757060532915,DTLND9hD-qz,Video,clips,https://www.instagram.com/p/DTLND9hD-qz/,2xko,2XKO,57164573241,https://www.instagram.com/riotgames,"2xko is launching globally on pc, xbox series x|s, and playstation 5, starting with season 1, on january 20-21

• play with ur friends 
• cross-platform
• cross-progression
• keep all ur stuff from early access",[],[],21385.0,211.0,21596.0,2026-01-06 16:00:11+00:00,False
